Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024208&LGE=FR&LIJST=lang;;Ambérieux-en-Dombes;Église Saint-Maurice;Lancia & Valentin (1976);IIP/6;Saint-Maurice [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024209&LGE=FR&LIJST=lang;d;Ars-sur-Formans;Basilique Saint-Jean-Marie Vianney;Michel-Merklin, Charles (1901);IIP/15;Saint-Jean-Marie Vianney [basilique]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059302&LGE=FR&LIJST=lang;d;Ars-sur-Formans;Séminaire Saint Jean-Marie Vianney, Chapelle;Londe, Denis (2010);IIP/12;
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2020913&LGE=FR&LIJST=lang;d;Belley;Cathédrale Saint-Jean-Baptiste;Cavaillé-Coll, Aristide (1860);IIIP/48;Saint-Jean-Baptiste [cathedrale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024210&LGE=FR&LIJST=lang;;Belley;Cathédrale Saint-Jean-Baptiste, Orgue de Choeur;Debièrre, Louis (1875);IIP/11;Saint-Jean-Baptiste, Orgue de Choeur [cathedrale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024211&LGE=FR&LIJST=lang;;Belley;Chapelle de l'Institution Lamartine;Cavaillé-Coll-Mutin (1903);IIP/16;de l'Institution Lamartine [chapelle]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024214&LGE=FR&LIJST=lang;dp;Bourg-en-Bresse;Co-Cathédrale Notre-Dame;Callinet, Claude-Ignace (1835);IVP/41;Notre-Dame [Co-Cathedrale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024215&LGE=FR&LIJST=lang;;Bourg-en-Bresse;Co-Cathédrale Notre-Dame, Orgue de Choeur;Kuhn, Théodore (1906);IIP/11;Notre-Dame, Orgue de Choeur [Co-Cathedrale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024216&LGE=FR&LIJST=lang;d;Bourg-en-Bresse;Église Sacré-Coeur;Manufacture d'Orgue Bressane (1983);IIP/20;Sacré-Coeur [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2049751&LGE=FR&LIJST=lang;;Châtillon-sur-Chalaronne;École de Musique de la Ville;Callinet, Louis (1846);IIP/17;École de Musique de la Ville
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024217&LGE=FR&LIJST=lang;dp;Châtillon-sur-Chalaronne;Église Saint-André;Chanon, Didier-Marie (1996);IIp/21;Saint-André [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024218&LGE=FR&LIJST=lang;;Châtillon-sur-Chalaronne;Église Saint-André, Orgue de Choeur;Facteur inconnu (1860);IIP/13;Saint-André, Orgue de Choeur [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024219&LGE=FR&LIJST=lang;d;Coligny;Église Paroissiale;Jouve, Michel (1973);IIP/13; [eglise Paroissiale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024220&LGE=FR&LIJST=lang;;Divonne-les-Bains;Église Paroissiale;Lambert, Roger (1979);IIP/24; [eglise Paroissiale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024221&LGE=FR&LIJST=lang;dp;Ferney Voltaire;Temple Réformé;Martel, Nicolas (2002);IIP/12;Réformé [temple]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024222&LGE=FR&LIJST=lang;d;Gex;Église Saint-Pierre;Merklin, Joseph (1860);IIP/21;Saint-Pierre [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024223&LGE=FR&LIJST=lang;dp;Jassans-Riottier;Église Notre-Dame-de-l'Assomption;Merklin-Schütze, maison (1864);IIP/16;Notre-Dame-De-L'Assomption [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024224&LGE=FR&LIJST=lang;;Marlieux;Église Abbatiale Notre-Dame-des-Dombes;Convers, Auguste (1930);IIP/13;Notre-Dame-Des-Dombes [eglise Abbatiale]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2016567&LGE=FR&LIJST=lang;dp;Montluel;Église Notre-Dame-des-Marais;Saby, Pierre (1996);IIP/20 (18);Notre-Dame-Des-Marais [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2005138&LGE=FR&LIJST=lang;dp;Nantua;Église Saint-Michel;Lété, Nicolas-Antoine (1848);IIIP/41;Saint-Michel [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024984&LGE=FR&LIJST=lang;;Oyonnax;Église Saint-Léger;Ruche, Edouard (1947);IIIP/30;Saint-Léger [eglise]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024985&LGE=FR&LIJST=lang;;Peronnas;Chapelle de l'Orphelinat Notre-Dame-de-Seillon;Michel-Merklin & Kuhn (1920);IIP/8;de l'Orphelinat Notre-Dame-De-Seillon [chapelle]
Ain;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2024986&LGE=FR&LIJST=lang;;Pont-de-Vaux;Église Paroissiale, Orgue de Choeur;Saby, Pierre (1971);I/4; Orgue de Choeur [eglise Paroissiale]
